Content-based image retrieval for fabric images: A survey,"In recent years, a great deal of research has been conducted in the area of fabric image retrieval, especially the identification and classification of visual features. One of the challenges associated with the domain of content-based image retrieval (CBIR) is the semantic gap between low-level visual features and high-level human perceptions. Generally, CBIR includes two main components, namely feature extraction and similarity measurement. Therefore, this research aims to determine the content-based image retrieval for fabric using feature extraction techniques grouped into traditional methods and convolutional neural networks (CNN). Traditional descriptors deal with low-level features, while CNN addresses the high-level, called semantic features. Traditional descriptors have the advantage of shorter computation time and reduced system requirements. Meanwhile, CNN descriptors, which handle high-level features tailored to human perceptions, deal with large amounts of data and require a great deal of computation time. In general, the features of a CNN's fully connected layers are used for matching query and database images. In several studies, the extracted features of the CNN's convolutional layer were used for image retrieval. At the end of the CNN layer, hash codes are added to reduce search time. © 2021 Institute of Advanced Engineering and Science. All rights reserved.",CBIR CNN Fabric image Feature extraction Traditional descriptor 
Study on the influencing factors of the flexibility of university IT management in Education 4.0,"Education systems at all levels should embrace new technologies to comply with Industry 4.0 developments. Universities need to adapt to these new changes. However, studies that discuss the flexibility in service-based organisations are limited. The study of IT flexibility currently focuses on manufacturing organisations in aspects of IT infrastructure. IT infrastructure flexibility is only a part of IT resources that is managed in IT management. The contribution of this study is to produce variables that significantly influence the flexibility of IT management in the university. T tests obtained six variables with a significant direct effect; they are data integration, modularity of an application, value drivers, human resource competence, human resource development and knowledge sharing. R square test shows that these variables also simultaneously influence the flexibility of IT management universities with a fairly high influence of 76%. Copyright © 2021 Inderscience Enterprises Ltd.",Application modularity; Data integration; Education 4.0; HR competencies; HR development; IT flexibility; IT infrastructure flexibility; IT management; Knowledge sharing management; University changed; Value drivers data set; education; educational development; human resource; information technology; resource development; university sector
A review on smartphone usage data for user identification and user profiling,"The amount of retrievable smartphone data is escalating; while some apps on the smartphone are evidently exploiting and leaking users' data. These phenomena potentially violate privacy and personal data protection laws as various studies have showed that technologies such as artificial intelligence could transform smartphone data into personal data by generating user identification and user profiling. User identification identifies specific users among the data based upon the users' characteristics and users profiling generates users' traits (e.g. age and personality) by exploring how data is correlated with personal information. Nevertheless, the comprehensive review papers discussing both of the topics are limited. This paper thus aims to provide a comprehensive review of user identification and user profiling using smartphone data. Compared to the existing review papers, this paper has a broader lens by reviewing the general applications of smartphone data before focusing on smartphone usage data. This paper also discusses some possible data sources that can be used in this research topic. © 2021 Komunitas Ilmuwan dan Profesional Muslim Indonesia. All right reserved.",Privacy; Smartphone Usage Data; User Identification; User Profiling 
Virtual Reality Mobile Application Development with Scrum Framework as a New Media in Learning English,Scrum software development has brought new ideas and tools in the software development industry. This study is a finding that the scrum can be a guideline for building mobile-based Virtual Reality applications as a new medium for learning English that is still conventional and has not applied technology to support the teaching and learning process of learning English. Scrum Software provides a framework for managing the iterative and incremental process for building VR applications. The results of this study indicate that a series of Sprint plans contained in the Scrum method have a positive impact and affect the quality of virtual reality mobile application games in English learning and also reveal the theoretical and practical implications that repeated feedback has a moderating effect on the relationship between Sprint planning and quality in VR games. © 2021. All Rights Reserved.,C#; Education; Game Development; Mobile learning; Scrum; Unity3D; Virtual Reality 
Application for Detection of Pedestrian Position on Zebra Cross,"Zebra cross is a crossing facility, but some people choose to cross outside the crossing area. Location tracking is a technology used to observe or track moving or stationary objects and provide location data for further processing. In this study, location tracking uses the location-based service algorithm designed on the Android system to map crossing facilities, especially the zebra cross. This system maps the position of longitude and latitude zebra cross. It tracks the status of pedestrians who will then compare the distance between the zebra crossing with the pedestrian, so it is expected to help pedestrians cross safely. The results of the experiment show that functionally the application has been able to map the position of the zebra crossing and the position of a crosser. However, the point reading of this app is still not perfect. © 2020 IEEE.",android; Global Positioning System (GPS); location tracking; Location-Based Service; Zebra cross Crosswalks; Data handling; Intelligent systems; Location; Object tracking; Telecommunication services; Android systems; Crossing area; Location data; Pedestrian position; Stationary objects; Location based services
Multi-Point Travel Destination Recommendation System in Yogyakarta Using Hybrid Location Based Service-Floyd Warshall Method1,"Yogyakarta is one of the cities that has a high level of tourist visits. In a span of 4 years, the increase in local tourists reached 71% and 64% of foreign tourists. Increasing the number of tourists is not a problem-free process, especially as visit preferences change over time. The challenge in this research is how to find alternative tourism objects which are located around the destination route with the fastest route, so as to shorten the travel time. In this study, the multi-point tourism recommendation system using Location-Based Service (LBS) is designed to find out tourist locations from the current location to the point of locations you want to visit but with a radius of 9 km. The application of the Floyd Warshall algorithm to this system will help tourists find the best route to the chosen tourist location. From the test results obtained an accuracy rate of 90% © 2020 IEEE.",Android; Floyd Warshall; GPS; LBS; Travel Recommendation Intelligent systems; Location; Recommender systems; Telecommunication services; Tourism; Travel time; Accuracy rate; Destination recommendations; Fastest route; Floyd-warshall; Floyd-Warshall algorithms; Multi-points; Location based services
Pre-processing Task for Classifying Satire in Indonesian News Headline,"One of challenges in the topic of natural language processing is detecting satire sentences. In the news headlines, satire commonly used to criticize the goverment. This study aims to know the impact of preprocessing in the classification of satire sentences in Indonesian news headlines. Besides, feature extraction was conducted by using Term Frequency Inverse Document frequency (TF-IDF) employing Machine Learning: Naive Bayes to classify the satire in Indonesian news headline. In thisstudy, there were six preprocessing combinations used which were; breaking down the word into tokens (tokenizing), changing word into base form (stemming), removing stopword, and removing punctuation. The result showed that preprocessing affected the accuracy of sarcastic sentence classification which are not on the dataset of Indonesian news headlines. The highest accuracy of 90.38% obtained by combination of standardized preprocessing which were tokenizing and lowercasing. © 2020 IEEE.",Machine Learning; Natural Language Processing; Preprocessing; Satire Natural language processing systems; Text processing; Goverment; Naive bayes; NAtural language processing; Pre-processing; Sentence classifications; Term frequencyinverse document frequency (TF-IDF); Tokenizing; Classification (of information)
Research trend on the use of it in digital addiction: An investigation using a systematic literature review,"Despite the negative role of IT in digital addiction development, IT may have a positive role in dealing with digital addiction. The present study undertakes a systematic literature review to explore the state of play and the trend regarding the use of IT in digital addiction research. Using predefined keywords, the Scopus database was searched for relevant literature published from 2017 to 2020. The initial search found 1655 papers. Six stages of study selection were completed using a set of inclusion and exclusion criteria. The study selection and quality assessment process were applied, then 15 papers were selected for further review. The results show that addiction detection using IT is the most researched topic in digital addiction research. The most commonly used IT in the selected studies are AI methods and biosignal recording systems. Various approaches in detection, prevention, and intervention are suggested in the selected studies. The advantages and limitations of each approach are discussed. Based on these results, some future research directions are suggested. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Detection; Digital addiction; Information technology; Internet addiction; Intervention; Prevention Future research directions; Inclusion and exclusions; Quality assessment; Recording systems; Research trends; Scopus database; Six stages; Systematic literature review; Internet
An integrated system for the seamless localization and specification of a position based on an indoor-outdoor conditions in ubiquitous computing environments,"The growing research interest in the localization tracking system has prompted development alongside availability positioning techniques to apply to the real environment and current situation. An integrated system that can support navigation and tracking in both indoor and outdoor conditions has been equipped with location information to improve the requirement and fulfil the demand of a seamless localization system based on existing technologies. This paper proposes a system called an integrated location-aware computing system using received signal strength indicator to support the direction and location information that works together with a smart devices and integrates an indoor-outdoor environment seamlessly by combining both conditions to be the system without any obstacle. Furthermore, the technologies of indoor and outdoor will be integrated into the users. Then, they move from different conditions; the system can provide as an indicator for the complication that arises between indoor and outdoor locations, as well as location-based service technology itself. The transition between indoor and outdoor is less than 5 seconds switching at the overlapped area, the certainty value of the performance when moving from outdoor to indoor is 98.4% accuracy, from indoor moved to outdoor is 97.7% accuracy at the first floor. Moreover, having this seamless location system makes a lot of benefits to assist the users in discovering interesting things from the system, enable the seamless in real-time operation based on Android platform and providing direction maps and multi-pathways from current locations to destinations, the combination between different environments is generated with higher performance and smoothly works when users have many alternatives to choose the available signals from both indoor and outdoor technologies, transmission computation of switching from indoor to outdoor and vice versa has been decreased time consumption with excellent reliability and continuity service by proposed system. © 2020, Intelligent Network and Systems Society.",Indoor/outdoor environment; Location tracking; Seamless location; Ubiquitous computing 
Mental stress detection via heart rate variability using machine learning,"Mental stress is an undesirable condition for everyone. Increased stress can cause many problems, such as depression, heart attacks, and strokes. Psychophysiological conditions possible use as a reference to a person’s mental state of stress. The development of mobile device technology, along with the accompanying sensors, can be used to measure the psychophysiological condition of its users. Heart rate allows measured from the photoplethysmography signal utilizing a smartphone or smartwatch. The heart rate variability is currently one of the most studied methods for assessing mental stress. Our objective is to analyze stress levels on the subjects when performing tasks on the smartphone. This study involved 41 students as respondents. Their heart rate was recorded using a smartphone while they were doing the n-back tasks. The n-back task is one of the performance tasks used to measure working memory and working memory capacity. In this study, the n-back task was also used as a stressor. The heart rate dataset and n-back task results are then processed and analyzed using machine learning to determine stress levels. Compared with three other algorithms (neural network, discriminant analysis, and naïve Bayes), the k-nearest neighbor algorithm is most appropriate to use in the classification of time and frequency domain analysis. © 2020, School of Electrical Engineering and Informatics. All rights reserved.",Classification Algorithm; Heart Rate Variability; Mental Stress; Stress Detection 
Reliability analysis of risk model metrics based on business approach in information security,"Threat of information security has impact to business of organization. Therefore, the development of information security risk model should consider business perspective. In order to develop new risk model, defining metrics is important process. It can be conducted by theoretical analysis, validity analysis and reliability analysis. Theoretical analysis and validity analysis had been performed in previous work. Furthermore, reliability analysis is performed in this paper. Cronbach's Alpha is required as method to measure reliability coefficient from five proposed metrics namely reputation, financial impact, critical level, business type of organization, and size of organization. Reliability analysis from proposed metrics results coefficient between 0.70-0.91. Based on previous researches, metric is reliable if it has coefficient greater than 0.65. Therefore, proposed metrics have adequate reliability to be used as metrics of risk model. © 2020 International Information and Engineering Technology Association. All rights reserved.",Business approach; Cronbach's alpha; Information security; Reliability analysis; Risk model Risk analysis; Risk assessment; Security of data; Business perspective; Critical level; Cronbach's alphas; Financial impacts; Information security risks; Risk model; Validity analysis; Reliability analysis
A Meta-Review of the Smartphone as the Measurement Device,"With the development of increasingly affordable smartphone technology that is owned by almost everyone, making some activities can be done only by using this device. Smartphone computing capability that is quite powerful, accompanied by various sensors embedded in it, allows the smartphone to be used as a measurement device in various fields of research. This article tries to review the use of smartphones as a measure of one's mentality by conducting a meta-review of several review articles that have been done before. This article tries to look at research trends that measure a person's mental state by using sensors found on smartphones and also to help researchers decide on topics to explore. © Published under licence by IOP Publishing Ltd.", Physics; Computing capability; Measurement device; Mental state; Research trends; Smartphones
Resource allocation model for grid computing environment,"Grid computing is a collection of heterogeneous resources that is highly dynamic and unpredictable. It is typically used for solving scientific or technical problems that require a large number of computer processing cycles or access to substantial amounts of data. Various resource allocation strategies have been used to make resource use more productive, with subsequent distributed environmental performance increases. The user sends a job by providing a predetermined time limit for running that job. Then, the scheduler gives priority to work according to the request and scheduling policy and places it in the waiting queue. When the resource is released, the scheduler selects the job from the waiting queue with a specific algorithm. Requests will be rejected if the required resources are not available. The user can re-submit a new request by modifying the parameter until available resources can be found. Eventually, there is a decrease in idle resources between work and resource utilization, and the waiting time will increase. An effective scheduling policy is required to improve resource use and reduce waiting times. In this paper, the FCFS-LRH method is proposed, where jobs received will be sorted by arrival time, execution time, and the number of resources needed. After the sorting process, the work will be placed in a logical view, and the job will be sent to the actual resource when it executes. The experimental results show that the proposed model can increase resource utilization by 1.34% and reduce waiting time by 20.47% when compared to existing approaches. This finding could be beneficially implemented in cloud systems resource allocation management. © 2020, Universitas Ahmad Dahlan. All rights reserved.",FCFS-LRH; Grid computing; Resource allocation; Resource utilization; Waiting time 
Indoor location tracking system based on android application using bluetooth low energy beacons for ubiquitous computing environment,"—Indoor positioning and tracking systems have become enormous issue in location awareness computing due to its improvement of location detection and positioning identification. The locations are normally detected using position technologies such as Global Positioning System, radio frequency identification, Bluetooth Beacon, Wi-Fi fingerprinting, pedometer and so on. This research presents an indoor positioning system based on Bluetooth low energy 4.0 Beacons; we have implemented Bluetooth signal strength for tracking the specific location and detect the movement of user through Android application platform. Bluetooth low energy was addressed to be an experiment technique to set up into the real environment of interior the building. The signal strength of beacons is evaluated and measured the quality of accuracy as well as the improvement of provide raw data from Beacons to the system to get better performance of the direction map and precise distance from current location to desire’s positioning. A smartphone application detects the location-based Bluetooth signal strength accurately and can be achieved the destination by provided direction map and distance perfectly. © 2020 Journal of Communications.",Bluetooth low energy; Indoor location system; Location context; Ubiquitous computing 
"Integration of indoor localization system using wi-fi fingerprint, bluetooth low energy beacon and pedometer based on android application platform","Location-based service has become an important element in indoor positioning with increasing precision. Indoor technologies help with user navigation and positioning in specific locations. Many location-based services and applications have been developed to improve indoor positioning, especially to deal with the complexity of location awareness systems. This study proposes the use of Wi-Fi Fingerprint (Wi-Fi), pedometer and Bluetooth Low Energy 4.0 (BLE) beacon to measure and pinpoint user's indoor locations using received signal strength-based indoor localization. The system tracks, directs and guides user's indoor movements using an android application and assists first-time visitors to find a particular location. The networks are comparable and can be detected using smartphones. The phones will detect the strongest signal from the available networks. Wi-Fi, pedometer and BLE 4.0 beacon were able to identify the direction and location in indoor environments and assist user to find their specific destination easily. The map provided by the system based on position information has an accuracy of 91.5% at the third floor and 97.1 % at the second floor, and the signals have seamlessly worked together in integrated fashion when user is in indoor environment. The system is also able to highlight pathway according to user's current location and destination, in addition to being fast responding, secure and robust. The application enables seamless service in real-time operation and provides multiple pathways, guidance and highlighted map for indoor localization. The display of distance between the user and the destination as the user near the target destination is an extremely helpful feature in the application. © 2020, Intelligent Network and Systems Society.",Indoor positioning; Location awareness; Location tracking; Navigation system 
Anomaly detection for elderly home care,"In this paper, we propose a model for detecting anomalies in elderly home care. Two scenarios are investigated in detecting anomalies: 1) the elderly person's vital signs and their surrounding environment; 2) the mobility patterns of the elderly. We evaluated our proposed model by employing the isolation forest which detects anomalies using an isolation approach on a random forest of decision trees. We compare isolation forest on unlabeled data with statistical methods on labelled data. Subsequently, to show the reliability of the isolation concept, we compare it with a distance measure concept. The experiment shows that isolation forest has higher detection accuracy and lower error prediction for two attributes in the first scenario: skin temperature and heart rate, whereas, in the second scenario, multi-covariance determinant has a slightly better accuracy compared to isolation forest (3.9% difference in accuracy) and has a small number of prediction errors compared to isolation forest. Copyright © 2020 Inderscience Enterprises Ltd.",Anomaly detection; Elderly home care; Isolation forest 
Location context ontology model based on ubiquitous computing environment,Many technologies have been used to identify the structure of context-based information in location-based service for positioning performance. Ontology based modeling is one of techniques that offer a domain that classify the type of location context entities. In order to represent the knowledge information in term of localization approach based indoor and outdoor conditions. This research proposes a location context ontology modeling to assort different locations that are linked together with multi-level of both indoor and outdoor conditions. A model provides the detail of proposed location context model and context reasoning in ubiquitous computing environment to test how location ontology can function at the same time and process the ability to infer more relations between location context entities. © WCSE 2019. All rights reserved.,Location Awareness; Location Model; Ontology Model; Ubiquitous Computing Location; Ontology; Telecommunication services; Ubiquitous computing; Context-based information; Knowledge information; Location awareness; Location modeling; Ontology based modeling; Ontology model; Positioning performance; Ubiquitous computing environment; Location based services
The kindness behavior management in kindness service application using tree structure,"Kindness service application is an application which helps the students in kindness behavior implementations. This application is designed as an intermediary between kindness service providers and those who need kindness service, so it constructs a two-way relationship between the students. In addition, this application can also motivate the students to compete to do good things, as those who often doing kindness will be given a rate by the admin. The process of kindness behavior that had occurred will be designed to form a kindness tree. The management of this process is designed by using tree structure method. The tree structure will set the formation of kindness behavior in the kindness service application. Therefore, kindness behavior that had occurred will form into a whole kindness tree eventhough it provides the features to add or remove the behaviors of kindness. © Published under licence by IOP Publishing Ltd.", Students; Trees (mathematics); Behavior implementation; Behavior management; Service applications; Service provider; Tree structures; Two ways; Forestry
The framework accommodation of systems recommendation via social media,"Tourists can plan trips using social media and other information sources found on the internet. However, to get information takes more time and efficient less. Recommendation systems have been developed to solve this problem. This research proposes the two-way relationship framework for the accommodation of systems recommendation using the hybrid method. To implementing the two-way relationship framework, this research is divided into two main architectural frameworks, the text processing architecture and the component system recommendation architecture. Focus this research for the framework component recommendations, where the decision-making process within the framework of two-way relationships using the hybrid method. The two-way relationship framework is probably to provide impression for the accommodation of system recommendation that can be developed and implemented in future research. © Published under licence by IOP Publishing Ltd.", Computer architecture; Decision making; Social networking (online); Text processing; Architectural frameworks; Component systems; Decision making process; Hybrid method; Information sources; Relationship frameworks; Social media; Two ways; Recommender systems
A context- A ware adaptive tourist recommendation system,"Tourist recommendation systems have been assisting tourists to select their preferred attractions or destinations based on some specified criteria. However, once a recommendation is made, it is unchanged until the travel plan is executed. Some changes occuring before the travel begins may trigger tourist disappointment because the changes may render the plan unexecutable. We propose a solution using a context- A ware mechanism. Context- A wareness binds some affecting factors to the computation of recommendation, making it sensible and adaptive to any changes. A prototype implementation is also discussed. © 2019 Association for Computing Machinery.",Adaptive system; Context- A wareness; Tourist recommendation system Adaptive systems; Web services; Websites; Affecting factors; Context- A wareness; Prototype implementations; Travel plans; Recommender systems
"Improving the accuracy of text classification using stemming method, a case of non-formal Indonesian conversation","Background: Stemming has long been used in data pre-processing to retrieve information by tracking affixed words back into their root. In an Indonesian setting, existing stemming methods have been observed, and the existing stemming methods are proven to result in high accuracy level. However, there are not many stemming methods for non-formal Indonesian text processing. This study introduces a new stemming method to solve problems in the non-formal Indonesian text data pre-processing. Furthermore, this study aims to improve the accuracy of text classifier models by strengthening stemming method. Using the Support Vector Machine algorithm, a text classifier model is developed, and its accuracy is checked. The experimental evaluation was done by testing 550 datasets in Indonesian using two different stemming methods. Findings: The results show that using the proposed stemming method, the text classifier model has higher accuracy than the existing methods with a score of 0.85 and 0.73, respectively. These results indicate that the proposed stemming methods produces a classifier model with a small error rate, so it will be more accurate to predict a class of objects. Conclusion: The existing Indonesian stemming methods are still oriented towards Indonesian formal sentences, therefore the method has limitations to be used in Indonesian non-formal sentences. This phenomenon underlies the suggestion of developing a corpus by normalizing Indonesian non-formal into formal to be used as a better stemming method. The impact of using the corpus as a stemming method is that it can improve the accuracy of the classifier model. In the future, the proposed corpus and stemming methods can be used for various purposes including text clustering, summarizing, detecting hate speech, and other text processing applications in Indonesian. © 2021, The Author(s).",Accuracy; Classification; Indonesian; Stemming; Text processing 
Confirmation of Personality Types Using Visual Evoked Potential with User Interface Design Stimulus,"After obtaining the consistency of Visual Evoked Potential (VEP) by using a stimulus with data-entry user interface design. This study tries to confirm whether an individual’s VEP will be classified according to personality type, which results from the proceeds of conventional personality tests usually carried out by the organization that is the place of this research. The results of this study will be an attempt to complement the needs of particular organizations for the elicitation stage to show user personas by using personality types as something to consider in software development in organizations. The recording of 20 participants whose personality types were known from the results of personality tests at the organization was completed. Each individual has a unique VEP. to confirm personality types and it is necessary to prove the similarity of VEP between individuals of the same type. 93.75% of VEP is classified according to personality type. Therefore it is necessary to consider that personality type can be used as user persona for user classification at the stage of user needs. To identify personality types at the personality test stage, it is still necessary to add more participants involved to get more convincing results. © 2021. All Rights Reserved.",Personality Type; User Interface Design; Visual Evoked Potential 
Improving stemming techniques for non-formal indonesian sentences using incorbiz,"Computer technology emulates the human behaviour in presence of Artificial Intelligence (AI) and Natural Language Processing (NLP). The methods make computers act like humans to provide automatic answers according to the humans needs. However, the available tools for the Indonesian language in NLP are very limited, so the linguistic processing of Indonesian on computer is difficult. Linguistic computation requires a process, so the sentences can be analyzed using certain methods. The process of data pre-processing consists of case folding, filtering, tokenizing, and stemming. Stemming is one of the potential problems. The development of NLP in Indonesia is provided by stemming techniques named “Sastrawi”. The packages can be running well because of stemming on formal Indonesian sentences. On the other hand, most of the Indonesian people are using non-formal sentences in online business conversations like “sdh saya tf tlg segera proses” (I have already transferred, please proceed immediately). This research aims to improve stemming techniques for non-formal Indonesian sentences that have not been done by previous researchers. The results showed Incorbiz can find root words that have not been found by other stemming techniques. ICIC International © 2021.",Incorbiz; Indonesian languages; NLP; Non-formal sentences; Pre-processing; Stemming 
Papaya Disease Detection Using Fuzzy Naïve Bayes Classifier,"Papaya is one of the tropical fruits that is grown in Indonesia. The weather condition in Indonesia cause it to be attacked by pest and disease. The farmers have difficulty identifying them due to a lack of knowledge and obtaining information from experts. In this study, an expert system was developed to detect papaya disease. Expert knowledge is applied to the system so the farmer can use it to identify the condition without an expert. It is usually represented in the linguistic form, was converted into numbers using fuzzy reasoning, Triangular Fuzzy Number (TFN) membership function. Then the expert knowledge was processed using the Naïve Bayes Classifier to obtain the results of the disease classification. The test was also performed using forward chaining search methods. The accuracy was 88% for FNBC and 90% for forward chaining compared to expert knowledge. © 2020 IEEE.",disease; expert; fuzzy; naïve bayes classifier; papaya Agriculture; Classification (of information); Expert systems; Fuzzy sets; Intelligent systems; Bayes Classifier; Disease classification; Disease detection; Expert knowledge; Fuzzy reasoning; Search method; Triangular fuzzy numbers; Tropical fruits; Membership functions
Machine learning-based IoT-botnet attack detection with sequential architecture,"With the rapid development and popularization of Internet of Things (IoT) devices, an increasing number of cyber-attacks are targeting such devices. It was said that most of the attacks in IoT environments are botnet-based attacks. Many security weaknesses still exist on the IoT devices because most of them have not enough memory and computational resource for robust security mechanisms. Moreover, many existing rule-based detection systems can be circumvented by attackers. In this study, we proposed a machine learning (ML)-based botnet attack detection framework with sequential detection architecture. An efficient feature selection approach is adopted to implement a lightweight detection system with a high performance. The overall detection performance achieves around 99% for the botnet attack detection using three different ML algorithms, including artificial neural network (ANN), J48 decision tree, and Naïve Bayes. The experiment result indicates that the proposed architecture can effectively detect botnet-based attacks, and also can be extended with corresponding sub-engines for new kinds of attacks. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Botnets; Feature selection; IDS; IoT; Machine learning Botnet; Decision trees; Machine learning; Network architecture; Network security; Computational resources; Detection performance; Efficient feature selections; Internet of Things (IOT); Proposed architectures; Rule based detection; Security weakness; Sequential detection; Internet of things; article; artificial neural network; decision tree; feature selection; internet of things
Physical discomfort and eye movements during arbitrary and optical flow-like motions in stereo 3D contents,"Users of stereo 3D technology commonly report physical discomfort during or after exposure of stereo 3D contents. The discomfort has been associated with sensation of arbitrary and optical flow-like self-motion. However, there is no information on whether arbitrary motion induces stronger physical discomfort compared with optical flow-like motion. To address this research gap, we investigate physical discomfort among players and spectators of stereo 3D contents using eye tracking and Simulator Sickness Questionnaire. Thirty participants (N= 30) acted as players and spectators of a first-person shooter (FPS) and a car racing game. The FPS and the car racing game produce a sensation of arbitrary and optical flow-like self-motion, respectively. Experimental results show that the FPS game induces more severe physical discomfort than its racing counterpart (p< 0.0083 , with a Bonferroni correction to the p value). We also found that severeness of oculomotor symptoms can be predicted using two eye movements metrics: the amount of fixational eye movements and viewing duration at the center of the screen. Our study implies that one should pay particular attention to different types of self-motion in stereo 3D contents regardless of whether the user controls or solely watches the contents. Our study also suggests that physical discomfort can be reduced by decreasing the frequency of fixational eye movements while prolonging the duration of each fixation at the center of screen. © 2019, Springer-Verlag London Ltd., part of Springer Nature.",Cybersickness; Eye tracking; Human factors in virtual reality; Stereo 3D Eye tracking; Optical flows; Racing automobiles; Virtual reality; 3D technology; Bonferroni correction; Cybersickness; First person shooter; Fixational eye movements; Self motion; Simulator sickness; User control; Eye movements
A Proposed user requirements document for children's learning application,"User requirements are the highest level of requirements. Flawed user requirements document can cause defects in the software being built-aspects of applications that were not presented in the user requirements document to cause a defect. In learning applications for children, there are aspects of pedagogy that need to be well documented. This aspect is not available in the general user requirements document, so it is often not well presented. The learning style and thinking skills level is crucial to be well presented in the user requirements document. That was because the children's persona cannot be compared at every range criteria of developmental age. That factor will undoubtedly affect the specifications of the software to be built. Users' viewpoints about different requirements can also make developers wrong in determining requirements. Applying requirements prioritization in the user requirements document can help resolve the problem. Measurement of document quality was also performed using parameters in measuring the quality of the user requirements document. The results of measuring the quality of the user requirements document found that it is reliable for use. © 2020, Science and Information Organization.",Aspect of pedagogy children; Learning application; User requirements; User requirements document Application programs; Computer aided instruction; Aspect of pedagogy child; Children learning; Learning application; Learningstyles; Requirements document; Skill levels; Thinking skills; User requirement document; User requirements; Defects
Identification of children learning styles using elicitation application,"Learning styles is one aspect of pedagogy that needs to be considered in the learning process. Understanding of material will be achieved if it is by the learning styles. Children do not have experience in the learning process, so identification of children learning styles is needed. The cognitive, psycho-motor and emotional abilities of children in each varying age range become a factor that determines learning styles. Learning styles tend to be recommended to children in the form of visual, audio, read/write and kinesthetic. Identification can be made towards learning styles that are by the child's preferences. The use of digital applications will be more accurate when compared to questionnaires in identifying learning styles. The presentation of interactive material and immersive in each learning styles can help identify children's learning styles. The assessment of material understanding was clarified in elicitation apps. The material evaluation was presented in the form of a set of questions related to the material presented. Interactions in the evaluation activities in the apps were presented according to the child's learning styles. Output produced by the application can be used by learning application developers, teachers, or parents in identifying children's learning styles. © 2020 Mira Kania Sabariah, Paulus Insap Santosa and Ridi Ferdiana.",Children; Children's learning styles; Learning process; Learning styles 
Model of tools for requirements elicitation process for children's learning applications,"Requirements Elicitation are the initial stages in the application development process, where a set of needs from the system will be built and obtained by communicating with stakeholders who have a direct and indirect influence on those needs. Failure in the requirements elicitation process was caused by weak communication. Communication is an essential thing in carrying out the requirements elicitation process. The selection of the right elicitation technique is not only a solution. Informants as sources of information on requirements also need to be considered. The choice of the correct technique often fails because of the tools not useful. The availability of the right form of equipment needs to be considered so that the communication between the elicitation team and the informant goes well. Children have characteristics not the same as adults. Limitations in terms of psychomotor, cognitive, and emotional children are considered in choosing elicitation techniques and tools. These limitations are also influenced by the age range of child development. The use of digital elicitation devices is recommended to be used in the requirements elicitation process. The presentation of interactive tools makes it easier for children to convey their desires. In learning applications for children, aspects of pedagogy that need to be explored are learning styles and children's thinking abilities. Every child in every age range has a different preference for learning style. That is because children do not have learning experiences. That also applies to the level of thinking ability of children. Therefore, these two things need to be appropriately explored when the learning application development process. The proposed elicitation tool model was made by taking into account both components of that pedagogical aspects. The test results of the built model show that the application has satisfaction. That means that children can communicate well in conveying the needed as requirements to the learning application. © 2020, Science and Information Organization.",Children learning application; Communication; Learning style; Pedagogical aspect; Requirements elicitation Computer aided instruction; Digital devices; Learning systems; Application development process; Child learning application; Children learning; Elicitation techniques; Learningstyles; Pedagogical aspects; Psychomotors; Requirements elicitation; Sources of informations; Techniques and tools; Requirements engineering
Towards a lightweight detection system for cyber attacks in the IoT environment using corresponding features,"The application of a large number of Internet of Things (IoT) devices makes our life more convenient and industries more efficient. However, it also makes cyber-attacks much easier to occur because so many IoT devices are deployed and most of them do not have enough resources (i.e., computation and storage capacity) to carry out ordinary intrusion detection systems (IDSs). In this study, a lightweight machine learning-based IDS using a new feature selection algorithm is designed and implemented on Raspberry Pi, and its performance is verified using a public dataset collected from an IoT environment. To make the system lightweight, we propose a new algorithm for feature selection, called the correlated-set thresholding on gain-ratio (CST-GR) algorithm, to select really necessary features. Because the feature selection is conducted on three specific kinds of cyber-attacks, the number of selected features can be significantly reduced, which makes the classifiers very small and fast. Thus, our detection system is lightweight enough to be implemented and carried out in a Raspberry Pi system. More importantly, as the really necessary features corresponding to each kind of attack are exploited, good detection performance can be expected. The performance of our proposal is examined in detail with different machine learning algorithms, in order to learn which of them is the best option for our system. The experiment results indicate that the new feature selection algorithm can select only very few features for each kind of attack. Thus, the detection system is lightweight enough to be implemented in the Raspberry Pi environment with almost no sacrifice on detection performance. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",DDoS attack; Feature selection; IDS; IoT; Machine learning; Raspberry Pi 
